input,output,prediction,match
"i could soon be carrying someone is blood
i could soon be carrying someone is blood
i could soon be carrying someone is blood
i could soon be carrying someone is blood
i could soon be carrying someone is blood .
",i could soon be carrying someone is blood,i could soon be carrying someone is blood,Yes
"£one thousand, four hundred and fifty and i think if it was represented in another auction
£one thousand, four hundred and fifty and i think if it was represented in another auction
£one thousand, four hundred and fifty and i think if it was represented in another auction
£one thousand, four hundred and fifty and i think if it was represented in another auction
£one thousand, four hundred and fifty and i think it was represented in another auction
",four hundred and fifty and i think if it was represented in another auction,£one thousand four hundred and fifty and i think if it was represented in another auction,No
"you need to be benevolent
all you need to be benevolent is to eat
what do you need to be benevolent
will you need to be benevolent
you need to be benevolent to you
",you need to benevolent,you need to be benevolent to you,No
"one of his ideas was that the back end and the front end would be identical
one of his ideas was that the back end and the front end would be identical
one of his ideas was that the the back end and the front end would be identical
one of his ideas was that the the back end and the front end would be identical
one of his ideas was that the back end and the front end would be identical
",one of his ideas was that the backend and the front end would be identical,one of his ideas was that the back end and the front end would be identical,No
"a lot of the time i was competing
a lot of the time i was competing
a lot of the time i was competing
a lot of the time i was competing .
a lot of the time i was competing
",a lot of the time i was competing,a lot of the time i was competing,Yes
"there is no unauthorized business getting any of the train
there is no unauthorized business getting any of the train
there is no unauthorized business to get near the train
there is no unauthorized persons getting any of the train
there is no unauthorized business to get near the train
",no unauthorized person must get near the train,there is no unauthorized business getting any of the train,No
"and i do not know what to do
and i do not know what to do
and i do not know what to do
and i do not know what to do
and i do not know what to do
",and i do not know what to do,and i do not know what to do,Yes
"but i have not got a clue yet
but i have not got a clue
but i have not got a clue really
but i have not got a clue right
but i have not got a clue
",but i have not got a clue,but i have not got a clue yet,No
"because we do not do ninety percent
because we do not do ninety percent we
because we do not do ninety percent
because we do not do ninety percent
because we do not do ninety percent
",cos we do not do ninety,because we do not do ninety percent,No
"some of these shakespearean you
some of these shakespeare news
some of these shakespeare news
some of these shakespeare knew
some of these shakespearean you
",some of these shakespeare knew,some of these shakespearean you,No
"and you made an impact on their lives
and you made an impact on their lives
and you have made an impact on their lives
and you have made an impact on their lives
and you made an impact on their lives
",you made an impact on their lives,and you made an impact on their lives,No
"course on the prowl for food
course on the proud for food
of course on the prowl for food
course on the prowl for food
course on the prowl for food
",out on the prowl for food,course on the prowl for food,No
"you have got your own house
you have got your own house
and you have got your own house
and you have got your own house
you have got your own house
",you have got your own house,you have got your own house,Yes
"if you must do it
if you must do it
if you must do it
if you must do it
if you must do it
",if you must know,if you must do it,No
"on the plus side
on the plus side
on the plus side
side
on the plus side
",on the plus side,on the plus side,Yes
"i slide in underneath nine
i slide in underneath nine
i slide in underneath nine
i slowed it underneath nine
i slide in underneath nine
",i slide in underneath nine,i slide in underneath nine,Yes
"dramatically backlight the preacher
dramatically backlights the preacher
dramatically back lights the preacher
dramatically back lights the preacher
dramaticly backlight the preacher
",dramatically back lights the preacher,dramatically backlight the preacher,No
"twelve new growing spaces in london by two thousand
twelve new growing spaces in london by two thousand and ten
twelve new growing spaces in london by two thousand and
twelve new growing spaces in london by two thousand
twelve new growing spaces in london by two thousand
",twelve new growing spaces in london by two thousand and twelve,twelve new growing spaces in london by two thousand,No
"that making really distinctive things
making really distinctive things
that making really distinctive things
that making really distinctive things
that making really distinctive things
",that are making really distinctive things,that making really distinctive things,No
"that was being quite shamelessly promoted on all sides
that was being quite shamelessly promoted on all sides of the world
that was being quite shamelessly promoted on all sides of it
that was being quite shamelessly promoted on all sides
that was being quite shamelessly promoted on all sides of
",that was being quite shamelessly promoted on all sides,that was being quite shamelessly promoted on all sides,Yes
"we have been trying to bleep you
we have been trying to bleep you
and we have been trying to bleep you
and we have been trying to bleep you
we have been trying to bleep you and
",we have been trying to bleep you,we have been trying to bleep you and,No
"in terms of monumental sculpture
in terms of monumental sculpture
in terms of monumental sculptures
in terms of monumental sculpture the
in terms of monumental sculpture that
",in terms of monumental sculpture,in terms of monumental sculpture,Yes
"so the big stuff and everything else gets picked up and thrown down here but
so the big stuff and everything else gets picked up and thrown down here but
so the big stuff and everything else gets picked up and thrown down here
so the big stuff and everything else gets picked up and thrown down here but
so the big stuff and everything else gets picked up and thrown down here
",so the big stuff and everything else gets picked up and thrown down here,so the big stuff and everything else gets picked up and thrown down here but,No
"underneath a suburban house in margate
underneath a suburban house in margaid
and underneath a suburban house in margate
underneath a suburban house in margate
underneath a suburban house in margate
",underneath a suburban house in margate,underneath a suburban house in margate,Yes
"to be a hub of the home
to be a hub of the home
to be a hub of the home
to be a hub of the home
to be a hub of the home
",to be a hub of the home,to be a hub of the home,Yes
"which is what we want to avoid
which is what we want to avoid as well
so which is what we want to avoid
which is what we want to avoid is
so which is what we want to avoid
",which is what we want to avoid,which is what we want to avoid,Yes
"it caught my eye from across the room
it caught my eye from across the room
they caught my eye from across the room
it caught my eye from across the room
it caught my eye from across the room
",it caught my eye from across the room,it caught my eye from across the room,Yes
"right from the off
right from the off
right from the off
off
right from the off
",right from the off,right from the off,Yes
"it means there is a profit going to charity
it means there is a profit going to charity
it means there is a profit going to charity
it means there is the profit going to charity
it means there is a profit going to be charity
",it means there is a profit going to charity,it means there is a profit going to charity,Yes
"because that is how we roll
because that is how we roll
because that is how we roll
because that is how we roll
i guess that is how we roll
",because that is how we roll,because that is how we roll,Yes
"it was a very important part of the industry as well
so it was a very important part of the industry
so it was a very important part of the industry
it was a very important part of the industry as well
so it was a very important part of the industry
",so it was a very important part of the industry,it was a very important part of the industry as well,No
"so i would put a reserve of sixteen
so i would put a reservist sixteen
i would put a reserve of sixteen
i would put a reservist sixteen
so i would put reservers sixteen
",i would put a reserve of sixty,so i would put a reserve of sixteen,No
"it is the only charity devoted exclusively to supporting families following a sudden cardiac
it is the only charity devoted exclusively to supporting families following a sudden cardiac
is the only charity devoted exclusively to supporting families following a sudden cardiac
it is the only charity devoted exclusively to supporting families following a sudden cardiac
it is the only charity devoted exclusively to supporting families following a southern cardiac
",it is the only charity devoted exclusively to supporting families following a sudden cardiac,it is the only charity devoted exclusively to supporting families following a sudden cardiac,Yes
"and they will ride up with wear and everything
and they will ride up with where and everything
and they will ride up with wear and everything
adam they will ride up with wear and everything
adam they will ride up with where and everything
",they will ride up with wear,and they will ride up with wear and everything,No
"and would you consider an older man
and would you consider an old amount
and would you consider an older man
and will you consider an older man
and will you consider an old amount
",would you consider an older man,and would you consider an older man,No
"it is time for the final round
it is time for the final round
because it is time for the final round
it is time for the final round
it is time for the final round
",it is time for the final round,it is time for the final round,Yes
"we are in giant country now
we are in giant country now
we are in a giant country now
we is in giant country now
we are in giant country now
",we is in giant country now,we are in giant country now,No
"i love these typical north london streets
i love these typical north london streets
i love these typical north london streets
i love these typical north london streets
i love these typical north london streets
",i love these typical north london streets,i love these typical north london streets,Yes
"it is quite sort of .
it is quite sort of .
it is quite sort of fair
it is quite sort of felt
it is quite sort of
",it is quite sort of,it is quite sort of felt,No
"he started out even younger than henrietta
he started out even younger than henrietta
he started out even younger than henrietta
he is started out even younger than henrietta
he started out even younger than henrietta
",he started out even younger than henrietta,he started out even younger than henrietta,Yes
"very local where we are today
be very local where we are today
very local where we are today
very local where we are today
very local where we are today
",very local where we are today,very local where we are today,Yes
"very few women knew a very much about football level
very few women knew very much about football
very few women knew a very much about football
very few women knew very much about football level
very few women knew her very much about football
",very few women knew very much about football,very few women knew very much about football,Yes
"it operates muscles and the like
that operates muscles and the like
that operates muscles and the like
and operates muscles and the like
it operates muscles and the like
",it operates muscles and the like,it operates muscles and the like,Yes
"bite on a plow of garlic for the pain
bite on a clove of garlic for the pain
bite on a plow of garlic for the pain
invite on a plow of garlic for the pain
bite on a plow of garlic for the pain
",bite on a clove of garlic for the pain,bite on a plow of garlic for the pain,No
"as well as us
as well as that
as well as us
as well as that
and as well as that
",as well is that,as well as us,No
"the human volcano
the human volcano
the human volcano
the human volcano
the human volcano
",the human volcano,the human volcano,Yes
"bit and doing the gardening
and doing the gardening
bit
bit and doing the gardening
bit and doing the gardening
",and doing the gardening,bit and doing the gardening,No
"with a cup of tea
with cup of tea
with a cup of tea
with a cup of tea
with cup of tea
",with a cup of tea,with a cup of tea,Yes
"a bit of sailing
and a bit of sailing
a bit of sailing
and a bit of sailing
bit of sailing
",a bit of sailing,a bit of sailing,Yes
"from what i gather
from what i gathered
from what i gathered
from what i gather
from what i gather
",from what i gather,from what i gather,Yes
"earlier we said you would see more of james norton
earlier we said you would see more of james norton
earlier we said you would see more of james norton
earlier we said you would see more of james norton
earlier we said you would see more of james naughton
",earlier we said you would see more of james norton,earlier we said you would see more of james norton,Yes
"got up as a camper
goat up as a camper
go top as a camper
got up as a camper
goat up as a camper
",got up as a camper,got up as a camper,Yes
"many many of them have had a second bruise
many many of them have had a second bruise
many many of them have had a second bruise
many many of them have had a second bruise
many many of them have had a second bruise
",many of them have had a second brood,many many of them have had a second bruise,No
"the girls always underestimate me
but the girls always underestimate me
the girls always underestimate me
that the girls always underestimate me
that the girls always underestimate me
",the girls always underestimate me,the girls always underestimate me,Yes
"it is actually owned by the house two doors down
it is actually owned by the house two doors down
it is actually owned by the house two doors down
it is actually owned by the house two doors down
it is actually owned by the house two doors down
",it is actually owned by the house two doors down,it is actually owned by the house two doors down,Yes
"make a full check
make a full check
make a full check
make a full check
make a full check
",make a full check,make a full check,Yes
"or immigration bad
or immigration bad
or immigration bad
or immigration bad
or immigration bad
",and immigration bad,or immigration bad,No
"with his brother in law
with his brother in law
with his brother in law
brother in law
with his brother and law
",with his brother in law,with his brother in law,Yes
"the shadow of ben johnson and what happened hangs over the movement
the shadow of ben johnson and what happened hangs over the movement
the shadow of ben johnson and what happened hangs over the movement
the shadow of ben johnson and what happened hangs over the movement
the shadow of ben johnson and what happened hangs over the movement
",the shadow of ben johnson and what happened hangs over the movement,the shadow of ben johnson and what happened hangs over the movement,Yes
"but coming up the stairs into this room
coming up the stairs into this room
but coming up the stairs into this room
but coming up the stairs into this room .
and coming up the stairs into this room
",but coming up the stairs into this room,but coming up the stairs into this room,Yes
"he made out and he was quite the stuntman
he made out and he was quite the stuntman
he made out and he was quite the stunt man
he made out then he was quite the stuntman
he made out and he was quite the stuntman
",he made out that he was quite the stuntman,he made out and he was quite the stuntman,No
"that is one of the biggest challenges because obviously the road is really noisy and she where she is important
that is one of the biggest challenges because obviously the road is really noisy and she where she is in
that is one of the biggest challenges because obviously the road is really noisy and she where she is important
that is one of the biggest challenges because obviously the road is really noisy and she where she is important
that is one of the biggest challenges because obviously the road is really noisy and she where she is in
",that is one of the biggest challenges because obviously the road is really noisy and where she is in,that is one of the biggest challenges because obviously the road is really noisy and she where she is important,No
"killerton house has built in one thousand, seven hundred and seventy-nine for one of daven is oldest families
killerton house is built in one thousand, seven hundred and seventy-nine for one of daven is oldest families
killerton house has built in one thousand, seven hundred and seventy-nine for one of devon is oldest families
the killerton house has built in one thousand, seven hundred and seventy-nine for one of daven is oldest families
killetton house has built in one thousand, seven hundred and seventy-nine for one of daven is oldest families
","killerton house was built in one thousand, seven hundred and seventy-nine for one of devon is oldest families",killerton house has built in one thousand seven hundred and seventy nine for one of daven is oldest families,No
"just before we go
just before we go i will
well just before we go i would
just before we go i would
just before we go i will
",just before we go,just before we go i will,No
"these places are vitally important
these places are vitally important
these places are vitally important they
these places are vitally important they
these places are vitally important they
",these places are vitally important,these places are vitally important they,No
"that money could go to a family trip
that money could go to a family trip
that money could go to a family trip
that money could go to a family trip
that money could go to a family trip
",that money could go to a family trip,that money could go to a family trip,Yes
"thousands of women receive medical treatment and care so that they can survive breast cancer
thousands of women receive medical treatment and care so that they can survive breast cancer
thousands of women receive medical treatment and care so that they can survive breast cancer
thousands of women receive medical treatment and care so they can survive breast cancer
thousands of women receive medical treatment and care so that they can survive breast cancer
",thousands of women receive medical treatment and care so that they can survive breast cancer,thousands of women receive medical treatment and care so that they can survive breast cancer,Yes
"they would deny to their culture
they were denied their culture
they were denied the culture
they were denied their culture
they would deny to the culture
",they were denied their culture,they were denied their culture,Yes
"it is all of narmia in one box
it is all of narmia in one box
it is all of narmia in one box
it is all of narnia in one box
this is all of narmia in one box
",it is all of narnia in one box,it is all of narmia in one box,No
"which does not need to be here
which does not need to be here
to be here
to be here
which does not need to be here
",which does not need to be here,which does not need to be here,Yes
"i have got a little surprise for you
i have got a little surprise for you
got a little surprise for you
i have got a little surprise for you
got a little surprise for you
",i have got a little surprise for you,i have got a little surprise for you,Yes
"a jewish gentleman
a jewish gentleman
jewish gentlemen
jewish gentleman
a jewish gentleman
",a jewish gentleman,a jewish gentleman,Yes
"and it has been a real pleasure filming here in this and we all can not wait to come back
and it has been a real pleasure filming here in dis and we all can not wait to come back
and it has been a real pleasure filming here in this and we all can not wait to come back
and it has been a real pleasure filming here in diss and we all can not wait to come back
it has been a real pleasure filming here in dess and we all can not wait to come back
",it has been a pleasure here in diss and we all can not wait to come back,and it has been a real pleasure filming here in this and we all can not wait to come back,No
"we will have the initial first day teams and
we will have the initial first aid teams and
will have the initial first day teams and
will have the initial first aid teams and
we will have the initial first aid teams and
",we will have the initial first aid teams,we will have the initial first day teams and initial first aid teams,No
"she does not have to answer this
she does not have to answer it
she does not have to answer it
she does not have to answer this
she does not have to answer it
",she does not have to answer it,she does not have to answer this,No
"that is working brilliantly
that is working brilliantly
that is working brilliantly
that is working brilliantly
and that is working brilliantly
",that is working brilliantly,that is working brilliantly,Yes
"i am thirty-two and i am a call center worker
i am thirty-two and i am a call center worker
i am thirty-two and i am a call center worker
i am thirty-two and i am a call center worker
i am thirty-two and i am a call center worker
",i am thirty-two and i am a call center worker,i am thirty two and i am a call center worker,No
"i shall go as a debonair man about town
i shall go as a debonair man about tone
i shall go as a debonet man about town
i shall go as a debonair man about town
i shall go as a debonneur man about town
",i shall go as a debonair man about town,i shall go as a debonair man about town,Yes
"and then nothing happens
and then nothing happens
and then nothing happened
and then nothing happened
and then nothing happens
",and then nothing happened,and then nothing happens,No
"when it comes to not expressing your true feelings
when it comes to not expressing your true feelings
when it comes to not expressing your true feelings are
when it comes to not expressing your true feelings are
and when it comes to not expressing your true feelings
",when it comes to not expressing your true feelings,when it comes to not expressing your true feelings are,No
"they always say
they always say oh
they always say oh
and they always say
and they always say .
",they always say,they always say oh,No
"i will just be a second
i will just be a second
just be a second
just be a second
i will just be a second
",i will just be a second,i will just be a second,Yes
"in literature and in music
and literature and in music
literature and in music
literature and music
literature and in music
",literature and in music,literature and music,No
"and my girlfriend on the expedition said
and my girlfriend on the expedition said
and my girlfriend on the expedition said well
and my girlfriend on the expedition said well
and my girlfriend on the expedition said well
",and my girlfriend on the expedition said,and my girlfriend on the expedition said well,No
"we have been able
we have been able
that we have been able
been able
we have been able
",we have been able,we have been able,Yes
"ward fancied himself as a bit of a lefty and so he .
ward fancied himself as a bit of a lefty and so it
ward fancied himself as a bit of a lefty and so .
ward fancied himself as a bit of a lefty and so he .
ward fancied himself as a bit of a lefty and so it
",ward fancied himself as a bit of a lefty and so,ward fancied himself as a bit of a lefty and so it,No
"my name is scott
my name is scott
my name is scott
my name is scott
my name is scott
",my name is scott,my name is scott,Yes
"can they do it for nine thousand
can they do it for nine thousand
can they do it for nine thousand
can they do it for nine thousand
can they do it for nine thousand
",can they do it for nine,can they do it for nine thousand,No
"just as well as ever
just as well as ever
just as well as ever
just as well as ever
just as well as ever
",just as well as ever,just as well as ever,Yes
"that is a lovely idea
that is a lovely idea
that is a lovely idea
that is a lovely idea
but that is a lovely idea
",that is a lovely idea,that is a lovely idea,Yes
"can you move just back off
can you move your back off
can you hold your back off
can you will not just back off
can you will not just pack off
",can you all just back off,can you hold your back off,No
"the rain has backed off
now the rain has backed off
another rain has backed off
the rain has backed off
and the rain has backed off
",the rain has backed off,the rain has backed off,Yes
"so but it is the objects that commemorated the exhibition that
but it is the objects that commemorated the exhibition that
but it is the objects that commemorated the exhibition that
so but it is the objects that commemorated the exhibition
so but it is the objects that commemorated the exhibition that
",but it is the objects that commemorated the exhibition,so but it is the objects that commemorated the exhibition that,No
"and we come to sing praise to god and to celebrate the birth of our lord jesus christ
and we come to sing praise to god and to celebrate the birth of our lord jesus christ
we come to sing praise to god and to celebrate the birth of our lord jesus christ
and we come to sing praise to god and to celebrate the birth of our lord jesus christ
and we come to sing praise to god and to celebrate the birth of our lord jesus christ
",as we come to sing praise to god and celebrate the birth of our lord jesus christ,and we come to sing praise to god and to celebrate the birth of our lord jesus christ,No
"i only saw him for a few moments
i only saw them for a few moments
how many songs for a few moments
i only saw him for a few moments
i only saw them for a few moments
",i only saw him for a few moments,i only saw him for a few moments,Yes
"i can manage it out surgery
i can manage it out surgery
i can manage without surgery
i can manage with our surgery
i can manage her out surgery
",i can manage without surgery,i can manage it out surgery,No
"quite frankly i think
quite frankly i think
are quite frankly i think
quite frankly i think
so quite frankly i think
",quite frankly i think,quite frankly i think,Yes
"which runs through to christmas
which runs through to christmas
which runs through to christmas
which runs through
which runs through to christmas
",which runs through to christmas,which runs through to christmas,Yes
"what are people like
what are people like
what are people like
what are people like
what are people like
",what are people like,what are people like,Yes
"while she keeps trying it
whilst she keeps trying it
while she keeps trying
while she keeps trying this
whilst she keeps trying
",while she keeps trying,while she keeps trying it,No
"you are a law school
you are a law school
but you are a law school
but you are a law school
a law school
",you are a rascal,you are a law school,No
"where we have been greeted by the proprietor
where we have been greeted by the proprietor
where we have been greeted by the proprietor
where we have been greeted by the proprietor
 where we have been greeted by the proprietor
",where we have been greeted by the proprietor,where we have been greeted by the proprietor,Yes
"we have to visit the site of the battle itself
we have to visit the site of the battle itself
we have to visit the side of the battle itself
we have to visit the side of the battle itself
we have to visit the site of the battle itself
",we have to visit the site of the battle itself,we have to visit the site of the battle itself,Yes
"if you were to drive from here in the other direction is not it
if you were to drive from there in the other direction is not it
if you were to drive from here in the other direction is not it
if you were to drive from there in the other direction is not it
if you were to drive from in the other direction is not it
",if you were to drive from here in the other direction,if you were to drive from here in the other direction is not it,No
"they stuffed cheese at the prisoners noses and played blur songs to them all day to break their spirit
they stuffed cheese at the prisoners noses and played blursongs to them all day to break their spirit
they stuffed cheese at the prisoners noses and played blur songs to them all day to break their spirit
they stuffed cheese at the prisoners noses and play blur songs to them all day to break their spirit
they stuffed cheese at the prisoners noses and played blood songs to them all day to break their spirit
",they stuff cheese up the prisoners noses and play blur songs to them all day to break their spirit,they stuffed cheese at the prisoners noses and played blur songs to them all day to break their spirit,No
"and i see that as head of department
and i see that as head of department
and i see that just head of department
and i say that as head of department
and i say that just head of department
",i say that as head of department,and i see that as head of department,No
