input,output,prediction,match
"prices are going up said george c eads vice president and chief economist at general motors corporation
prices are going up said george c eads vice president and chief economist at general motors corporation
prices are going up said george c eads vice president and chief economist at general motors corporation
prices are going up said george c eads vice president and chief economist at general motors corporation
prices are going up said george c eads vice president and chief economist at general motors corporation
",prices are going up said george c eads vice president and chief economist at general motors corporation,prices are going up said george c eads vice president and chief economist at general motors corporation,Yes
"what we do not know is how much is price and how much is volume
what we do not know is how much is price and how much is volume
what we do not know is how much is price and how much is value
what we do not know is how much is price and how much is volume
what we do not know is how much is price
",what we do not know is how much is price and how much is volume,what we do not know is how much is price and how much is volume,Yes
"great spell on short term treasure
great spell on short term treasure rooms
great spell on short term treasure rooms
great spell on short term treasure
great spell on short term treasure rooms
",rates fell on short term treasury bills,great spell on short term treasure rooms,No
"the rate on the latest three month bills declined six point four three percent bid from an average of six point five three percent set at tuesday is auction
the rate on the latest three month bills declined six point four three percent bid from an average of six point five three percent set at tuesday is auction
the rate on the latest three month bills declined six point four three percent bid from an average of six point five three percent set at tuesday is auction
the rate on the latest three month bills declined six point four three percent bid from an average of six point five three percent set at tuesday is auction
the rate on the latest three month bills declined six point four three percent bid from an average of six point five three percent set at tuesday is auction
",the rate on the latest three month bills declined to six point four three percent bid from an average of six point five three percent set at tuesday is auction,the rate on the latest three month bills declined six point four three percent bid from an average of six point five three percent set at tuesday is auction,No
"the rate on six month bills fell to six point seven three percent from six point eight three percent
the rate on six month bills fell to six point seven three percent from six point eight three percent
the rate on six month bills fell to six point seven three percent from six point eight three percent
the rate on six month bills fell to six point seven three percent from six point eight three percent
the rate on six month bills fell to six point seven three percent from six point eight three percent
",the rate on six month bills fell to six point seven three percent from six point eight three percent,the rate on six month bills fell to six point seven three percent from six point eight three percent,Yes
"utility analysts however expect the agreement to be completed without much difficulty
the utility analysts however expect the agreement to be completed without much difficulty
utility analysts however expect the agreement to be completed without much difficulty
utility analysts however expect the agreement to be completed without much difficulty
utility analysts however expect the agreement to be completed without much difficulty
",utility analysts however expect the agreement to be completed without much difficulty,utility analysts however expect the agreement to be completed without much difficulty,Yes
"yesterday redis investor service raised little coast credit ratings recognition of the improved outlook on study financial recovery
yesterday redis investor service raised little coast credit ratings recognition of the improved outlook on steady financial recovery
yesterday redis investor service raised lilco is credit ratings recognition of the improved outlook on study financial recovery
yesterday the latest investor service raised little coast credit ratings recognition of the improved outlook on steady financial recovery
yesterday reuters investor service raised lilco is credit ratings recognition of the improved outlook on steady financial recovery
",yesterday moody is investors service raised lilco is credit ratings in recognition of the improved outlook for steady financial recovery,yesterday redis investor service raised little coast credit ratings recognition of the improved outlook on steady financial recovery,No
"first commodity appealed the expulsion and fine to the cftc
first commodity appealed the expulsion and fine to the cftc
first commodity appeal the expulsion and fine to the cftc
first commodity appealed the expulsion and fine to the cftc
first commodity appealed the expulsion and find the cftc
",first commodity appealed the expulsion and fine to the cftc,first commodity appealed the expulsion and fine to the cftc,Yes
"a commission spokesman said a decision on the appeal is expected today
a commission spokesman said a decision on the appeal is expected today
a commission spokesman said a decision on the appeal is expected
our commission spokesman said a decision on the appeal is expected today
a commission spokesman said a decision on the appeal is expected
",a commission spokesman said a decision on the appeal is expected soon,a commission spokesman said a decision on the appeal is expected today,No
"first commodity officials could not be reached for comment
first commodity officials could not be reached for comment
first commodity officials could not be reached for comment
first commodity officials could not be reached for comment
first commodity officials could not be reached for comment
",first commodity officials could not be reached for comment,first commodity officials could not be reached for comment,Yes
"and then there is the explanation of why pteridines growth in japan is slow despite fifteen years of effort
and then there is the explanation of why pteridines growth in japan is slow despite fifteen years of effort
and then there is the explanation of why pterodine is growth in japan is slow despite fifteen years of effort
and then there is the explanation of why pteridines growth in japan is slow despite fifteen years of effort
and then there is the explanation of why pterodines growth in japan is slow despite fifteen years of effort
",and then there is the explanation of why teradyne is growth in japan is slow despite fifteen years of effort,and then there is the explanation of why pteridines growth in japan is slow despite fifteen years of effort,No
"the language is a big problem
the language is a big problem
the language is a big problem
the language is the big problem
the language is a big problem
",the language is a big problem,the language is a big problem,Yes
"in europe an american can at least be a sweetheart
in europe an american can at least speak spanish
and here an american can at least speak spanish
in europe an american can at least get a sweetheart
and here an american can at least be a sweetheart
",in europe an american can at least read street signs,in europe an american can at least get a sweetheart,No
"in japan it is all greek so it is .
in japan it is all great
in japan it is all greeks
in japan it is all greeks
in japan it is all greek so .
",in japan it is all greek so to speak,in japan it is all greeks,No
"the overall gain the fifth in the past seven months followed a revised four point one percent increase in february
the overall gain the fiveth in the past seven months followed a revised four point one percent increase in february
the overall gain the fifth in the past seven months followed a revised four point one percent increase in february
the overall gain the fiveth in the past seven months followed a revised four point one percent increase in february
the overall gain the fifth in the past seven months followed a revised four point one percent increase in february
",the overall gain the fifth in the past seven months followed a revised four point one percent increase in february,the overall gain the fifth in the past seven months followed a revised four point one percent increase in february,Yes
"the earlier rise was previously reported as four point three percent
the earlier rise was previously reported as four point three percent
the earlier rise was previously reported at four point three percent
the earlier rise was previously reported at four point three percent
the earlier rise was previously reported at four point three percent
",the earlier rise was previously reported as four point three percent,the earlier rise was previously reported at four point three percent,No
"if defense is excluded march orders rose one percent after a three percent increase in february
if defense is excluded march orders rose one percent after a three percent increase in february
if defense is excluded march orders rose one percent after a three percent increase in february
if defense is excluded march orders rose one percent after a three percent increase in february
if defense is excluded march orders rose one percent after a three percent increase in february
",if defense is excluded march orders rose one percent after a three percent increase in february,if defense is excluded march orders rose one percent after a three percent increase in february,Yes
"elders brewing will be based outside australia because seventy percent of its assets are in britain and canada
elder is brewing will be based outside australia because seventy percent of its assets are in britain and canada
elder is brewing will be based outside australia because seventy percent of its assets are in britain and canada
elders brewing will be based outside australia because seventy percent of its assets are in britain and canada
elders grewing will be based outside australia because seventy percent of its assets are in britain and canada
",elders brewing will be based outside australia because seventy percent of its assets are in britain and canada,elders brewing will be based outside australia because seventy percent of its assets are in britain and canada,Yes
"also a move to basis abroad will have tax advantages
also a move to basis abroad will have tax advantages
also a move to bases abroad will have tax advantages
also a move to base abroad will have tax advantages
also a move to basis abroad will have tax advantages
",also a move to base it abroad will have tax advantages,also a move to bases abroad will have tax advantages,No
"elder is finance and elder is agribusiness will remain based in australia
elders finance and elders agribusiness will remain based in australia
elder is finance and elder is agri business will remain based in australia
elders finance and elders agri business will remain based in australia
elder is finance and elder is agribusiness will remain based in australia
",elders finance and elders agribusiness will remain based in australia,elder is finance and elder is agribusiness will remain based in australia,No
"two years ago basf made three separate acquisitions in the us
two years ago basf made three separate acquisitions in the us
two years ago basf made three separate acquisitions in the us
two years ago basf made three separate acquisitions
two years ago basf made three separate acquisitions
",two years ago basf made three separate acquisitions in the us,two years ago basf made three separate acquisitions in the us,Yes
"its biggest was the $one billion purchase of united technologies corporation in montecito a major supplier of paint to the auto industry
its biggest was the $one billion purchase of united technologies corporations in montecito a major supplier of paint to the auto industry
its biggest was the $one billion purchase of united technologies corporation in montecito area a major supplier of paint to the auto industry
its biggest was the $one billion dollar purchase of united technologies corporation in montecito a major supplier of paint to the auto industry
its biggest was the $one billion purchase of united technologies corporations in montecito a major supplier of paint to the auto industry
",its biggest was the one billion dollar purchase of united technologies corporation is inmont subsidiary a major supplier of paint to the auto industry,its biggest was the one billion purchase of united technologies corporation in montecito a major supplier of paint to the auto industry,No
"today ninety percent of the $four billion basf sales in the u s is produced there
today ninety percent of the $four billion basf sales in the us is produced there
today ninety percent of the $four billion basf sales in the u s is produced there
today ninety percent of the $four billion of basf sales in the us is produced there
today ninety percent of the $four billion basf sales in the u s is produced there
",today ninety percent of the four billion dollars of basf sales in the us is produced there,today ninety percent of the four billion basf sales in the u s is produced there,No
"if the dollar starts to plunge the fed may step up its defense of the currency
if the dollar starts to plunge the fed may step up in its defense of the currency
if the dollar starts to plunge the fed may step up its defense of the currency
if the dollar starts to plunge the fed may step up its defense of the currency
if the dollar starts to plunge the fed may step up its defense of the currency
",if the dollar starts to plunge the fed may step up its defense of the currency,if the dollar starts to plunge the fed may step up its defense of the currency,Yes
"too much focus is placed on reduction of cross country loans mister meyerman said
too much focus is placed on reduction of cross country loans mister meyerman said
too much focus is placed on reduction of cross country loans mister meierman said
too much focus is placed on reduction of cross country loans mister meyermann said
too much focus is placed on reduction of cross country loans mister meyermann said
",too much focus is placed on reduction of cross country loans mister meyerman said,too much focus is placed on reduction of cross country loans mister meyerman said,Yes
"analysts have not focused on what happened
analysts have not focused on what happened
but analysts have not focused on what happened
and analysts have not focused on what happened
analysts have not focused on what happened
",analysts have not focused on what happened to them,analysts have not focused on what happened,No
"has exposure really been reduced
has exposure really been reduced
has the exposure really been reduced
has exposure really been reduced
has exposure really been reduced
",has exposure really been reduced,has exposure really been reduced,Yes
"our guess is no
our guest is no
our guess is no
our guests is no
our guest is known
",our guess is no,our guess is no,Yes
"closed end funds are traded on exchanges like stocks that invest in a wide portfolio of other securities
closed end funds are traded on exchanges like stocks that invest in the wide portfolio of other securities
closed end funds are traded on exchanges like stocks that invest in a wide portfolio of other securities
closed end funds are traded on exchanges like stocks that invest in the wide portfolio of other securities
closed end funds are traded on exchanges like stocks but invest in a wide portfolio of other securities
",closed end funds are traded on exchanges like stocks but invest in a wide portfolio of other securities,closed end funds are traded on exchanges like stocks that invest in a wide portfolio of other securities,No
"although closed down funds have been around since at least the one thousand, nine hundred and twentys they have boomed on popularity this year
although closed down funds have been around since at least the one thousand, nine hundred and twentys they have boomed on popularity this year
although close down funds have been around since at least the one thousand, nine hundred and twentys they have boomed on popularity this year
although close down funds have been around since at least the one thousand, nine hundred and twentys they have boomed on popularity this year
although closed down funds have been around since at least the one thousand, nine hundred and twentys they have boomed on popularity this year
",although closed end funds have been around since at least the nineteen twenties they have boomed in popularity this year,although closed down funds have been around since at least the one thousand nine hundred and twentys they have boomed on popularity this year,No
"the bond funds in particular provide robust yields for investors and hefty fees for underprivileged
the bond funds in particular provide robust yields for investors and hefty fees for landlords
the bond funds in particular provide robust yields for investors and hefty fees for undercovers
the bond funds in particular provide robust yields for investors and hefty fees for entrepreneurs
the bond funds in particular provide robust yields for investors and hefty fees for endowners
",the bond funds in particular provide robust yields for investors and hefty fees for underwriters,the bond funds in particular provide robust yields for investors and hefty fees for entrepreneurs,No
"the company said its european banking affiliate safra republic plans to raise more than $four hundred and fifty million through an international offering
the company said its european banking affiliate saffra republic plans to raise more than $four hundred and fifty million through an international offering
the company said its european banking affiliate safra republic plans to raise more than $four hundred and fifty million through an international offering
the company said its european banking affiliate safra republic plans to raise more than $four hundred and fifty million dollars through an international offering
the company said its european banking affiliate safra republic plans to raise more than $four hundred and fifty million through an international offering
",the company said its european banking affiliate safra republic plans to raise more than four hundred fifty million dollars through an international offering,the company said its european banking affiliate safra republic plans to raise more than four hundred and fifty million through an international offering,No
"he also said that the company for the first time is developing drugs specifically for the over the counter consumer health care market
he also said that the company for the first time is developing drugs specifically for the over the counter consumer healthcare market
he also said that the company for the first time is developing drugs specifically for the over the counter consumer health care market
he also said that the company for the first time is developing drugs specifically for the over the counter consumer healthcare market
he also said that the company for the first time is developing drugs specifically for the over the counter consumer healthcare market
",he also said that the company for the first time was developing drugs specifically for the over the counter consumer health care market,he also said that the company for the first time is developing drugs specifically for the over the counter consumer health care market,No
"it is totaling $five hundred and twenty-five point five million dollars
it is totaling $five hundred and twenty-five point five million dollars per submit
it is totaling $five hundred and twenty-five point five million dollars per minute
it is totaling $five hundred and twenty-five point five million dollars per second
it is totaling five hundred and twenty-five point five million dollars
",bids totaling five hundred twenty five point five million dollars were submitted,it is totaling five hundred and twenty five point five million dollars per submit,No
"accepted bids range from six point two percent to six point two two five percent
accepted bids ranged from six point two percent to six point two two five percent
accepted bids range from six point two percent to six point two two five percent
accepted bids ranged from six point two percent to six point two two five percent
accepted bids range from six point two percent to six point two two five percent
",accepted bids ranged from six point two percent to six point two two five percent,accepted bids ranged from six point two percent to six point two two five percent,Yes
"the bank holding company slated another $fifty million sale next tuesday
the bank holding company slated another fifty million dollars sale next tuesday
the bank holding company slated another fifty million dollar sale next tuesday
the bank holding company slated another $fifty million sale next tuesday
the bank holding company slated another $fifty million sale next tuesday
",the bank holding company slated another fifty million dollar sale next tuesday,the bank holding company slated another fifty million sale next tuesday,No
"the company which runs retail automotive stores told shearson lehman brothers its financial advisor to terminate discussions to sell the firm
the company which runs retail automotive stores told shearson lehman brothers its financial adviser to terminate discussions to sell the firm
the company which runs retail automotive stores told sheerson lehman brothers its financial advisor to terminate discussions to sell the firm
the company which runs retail automotive stores told shears and lehman brothers its financial advisor to terminate discussions to sell the firm
the company which runs retail automotive stores told shearson lehman brothers its financial advisor to terminate discussions to sell the firm
",the company which runs retail automotive stores told shearson lehman brothers its financial adviser to terminate discussions to sell the firm,the company which runs retail automotive stores told shearson lehman brothers its financial advisor to terminate discussions to sell the firm,No
"they received no proposals that were in the best interest of the shareholders the company said
it received no proposals that were in the best interest of the shareholders the company said
it received no proposals so we are in the best interest of the shareholders the company said
they received no proposals that were in the best interests of the shareholders the company said
it received no proposals so we are in the best interest of the shareholders the company said
",it received no proposals that were in the best interest of the shareholders the company said,they received no proposals that were in the best interest of the shareholders the company said,No
"under terms previously reported the italian agricultural concern assumed about $one hundred and ninety-five million in subordinated debt as part of the transaction
under terms previously reported the italian agricultural concern assumed about one hundred and ninety-five million dollars in subordinated debt as part of the transaction
under terms previously reported the italian agricultural concern assumed about one hundred and ninety-five million dollars in subordinated debt as part of the transaction
under terms previously reported the italian agricultural concern assumed about one hundred and ninety-five million dollars in subordinated debt as part of the transaction
under terms previously reported the italian agricultural concern assumed about one hundred and ninety-five million dollars in subordinated debt as part of the transaction
",under terms previously reported the italian agricultural concern assumed about one hundred ninety five million dollars in subordinated debt as part of the transaction,under terms previously reported the italian agricultural concern assumed about one hundred and ninety five million dollars in subordinated debt as part of the transaction,No
"shamrock is pre tax profit from the sale was $one hundred and twenty-five million as folks have been said
shamrock is pre tax profit from the sale was $one hundred and twenty-five million as folks have been saying
shamrock is pre tax profit from the sale is $one hundred and twenty-five million as folks have been said
shamrock is pre tax profit from the sale is $one hundred and twenty-five million as folks have been saying
shamrock is pre tax profit for the sale was $one hundred and twenty-five million as folks have been said
",shamrock is pretax profit from the sale was one hundred twenty five million dollars a spokeswoman said,shamrock is pre tax profit from the sale was one hundred and twenty five million as folks have been saying,No
"share with us your interests in television and radio stations energy services real estate and venture capital
share with us your interest in television and radio stations energy services real estate and venture capital
share with us your interests in television and radio stations energy services real estate and venture capital
share with us your interest in television and radio stations energy services real estate and venture capital
share your interests in television and radio stations energy services real estate and venture capital
",shamrock has interests in television and radio stations energy services real estate and venture capital,share with us your interests in television and radio stations energy services real estate and venture capital,No
"sunny corporation for example was at four thousand, nine hundred and fifty yen $thirty-four point five a share yesterday
sunny corporation for example closed at four thousand, nine hundred and fifty yen $thirty-four point five a share yesterday
sunny corporation for example was at four thousand, nine hundred and fifty yen $thirty-four point five a share yesterday
sunny corporation for example closed at four thousand, nine hundred and fifty yen $thirty-four point five a share yesterday
sunny corporation for example was at four thousand, nine hundred and fifty yen $thirty-four point five a share yesterday
",sony corporation for example closed at four thousand nine hundred fifty yen thirty four dollars and fifty cents a share yesterday,sunny corporation for example was at four thousand nine hundred and fifty yen thirty four point five a share yesterday,No
"under tokyo trading rules the maximum one day drop for sony is five hundred yen about $three point five
under tokyo trading rules the maximum one day drop for sony is five hundred yen about $three point five
under tokyo trading rules the maximum one day drop for sony is five hundred yen about $three point five
under tokyo trading rules the maximum one day drop for sony is five hundred yen about $three point five
under tokyo trading rules the maximum one day drop for sony is five hundred yen about $three point five
",under tokyo trading rules the maximum one day drop for sony is five hundred yen about three dollars and fifty cents,under tokyo trading rules the maximum one day drop for sony is five hundred yen about 350,No
"this morning the asking price for the stock was $four thousand, eight hundred and fifty but there were no buyers
this morning the asking price for the stock was $four thousand, eight hundred and fifty but there were no buyers
this morning the asking price for the stock was $four thousand, eight hundred and fifty but there were no buyers
this morning the asking price for the stock was $four thousand, eight hundred and fifty but there were no buyers
this morning the asking price for this stock was $four thousand, eight hundred and fifty but there were no buyers
",this morning the asking price for the stock was four thousand eight hundred fifty but there were no buyers,this morning the asking price for the stock was four thousand eight hundred and fifty but there were no buyers,No
"a monsanto spokesman said there is very little we can say
a monsanto spokesman said there is very little we can say
a monsanto spokesman said there is very little we can say
a monsanto spokesman said there is very little we can say
a monsanto spokesman said there is very little we can say
",a monsanto spokesman said there is very little we can say,a monsanto spokesman said there is very little we can say,Yes
"we just received the suit and the document is massive it is two hundred pages
we just received the suit and the document is massive it is two hundred pages
we just received the suit and the document is massive it is two hundred pages
we just received the suit and the document is massive it is two hundred pages
we just received the suit and the document is massive it is two hundred pages
",we just received the suit and the document is massive it is two hundred pages,we just received the suit and the document is massive it is two hundred pages,Yes
