input,output,prediction,match
"well now ennis i declare you have a head and so has my stick
now ennis i declare you have a head and so has my stick
well now ennis i declare you have the head and so has my stick
well now ennis i declare you have a hand and so has my stick
well now ennis i declare you have a head and so is my stick
",well now ennis i declare you have a head and so has my stick,well now ennis i declare you have a head and so has my stick,Yes
"on saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses
on sunday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses
on saturday mornings when the sodality met in the chapel to recite the little office his place was a crushed kneeling desk at the right of the altar from which he led his wing of boys through the responses
on saturday mornings when the sodality met in the chapel to recite the little office his place was the cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses
on saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of birds through the responses
",on saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses,on saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses,Yes
"her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her
her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly on her frail flesh did not humiliate the sinner who approached her
her eyes seemed to regard him with mild pity her holiness the strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her
her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail face did not humiliate the sinner who approached her
her eyes seemed to regard him with mild beauty her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her
",her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her,her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her,Yes
"if ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her knight
if ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her night
if ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be a knight
if ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be the knight
if ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her
",if ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her knight,if ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her knight,Yes
"he tried to think how it could be
he tried to think how it would be
he tried to think how it should be
he tried to think what it could be
he began to think how it could be
",he tried to think how it could be,he tried to think how it could be,Yes
"but the dusk deepening in the schoolroom covered over his thoughts the bell rang
but the dusk deepening in the school room covered over his thoughts the bell rang
but the dusk deepening in the schoolroom over his thoughts the bell rang
but the dusk deepening in the schoolroom covered over his thought the bell rang
but the dusk deepening in the schoolroom covered his thoughts the bell rang
",but the dusk deepening in the schoolroom covered over his thoughts the bell rang,but the dusk deepening in the schoolroom covered over his thoughts the bell rang,Yes
"then you can ask him questions on the catechism daedalus
then you can ask him questions in the catechism daedalus
then you can ask him questions on that catechism daedalus
then you can ask him questions of the catechism daedalus
then you can ask him questions on the catechism deedalus
",then you can ask him questions on the catechism dedalus,then you can ask him questions on the catechism daedalus,No
"stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying
stephen leaning back and drawing idly upon his scribbler listened to the talk about him which heron checked from time to time by saying
stephen leaned back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying
stephen leaning back and drawing idly at his scribbler listened to the talk about him which heron checked from time to time by saying
stephen leaning back and drawing idly in his scribbler listened to the talk about him which heron checked from time to time by saying
",stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying,stephen leaned back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying,No
"it was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation
it was strange too that he found an arid pleasure in following out to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation
it was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silence only to hear and feel the more deeply his own condemnation
it was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel more deeply his own condemnation
it was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure sciences only to hear and feel the more deeply his own condemnation
",it was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation,it was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation,Yes
"the sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state
the sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase till he had begun to grope in the darkness of his own state
the sentence of saint james which says that he who offends against one commandment becomes guilty of what had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state
the sentence of saint james which said that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state
the sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him such a swollen phrase until he had begun to grope in the darkness of his own state
",the sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state,the sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state,Yes
"if a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortune
if a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen or the pound together with the compound interest accruing upon it or all his huge fortune
if a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing on it or all his huge fortune
if a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortunes
if a man had stolen a pound in his youth and had used the pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortune
",if a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortune,if a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortune,Yes
"if a layman in giving baptism pour the water before saying the words is the child baptized
if a layman in giving baptism poured the water before saying the words is the child baptized
if a layman in giving baptism pour the water before saying the words is the child baptised
if a layman in giving baptism poured the water before saying the words is the child baptised
if a layman in giving baptism pours the water before saying the words is the child baptized
",if a layman in giving baptism pour the water before saying the words is the child baptized,if a layman in giving baptism pour the water before saying the words is the child baptized,Yes
"how comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second beatitude promises also to the meek that they shall possess the land
how comes it that while the first beatitude promises the kingdom of heaven to the poor of earth the second beatitude promises also to the meek that they shall possess the land
how comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second beatitude promises also to the meek that they should possess the land
how comes it that while the first beatitude promises the kingdom of heaven to the poor of god the second beatitude promises also to the meek that they shall possess the land
how comes it that while the first beatitude promises the kingdom of heaven to the poor of heaven the second beatitude promises also to the meek that they shall possess the land
",how comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second beatitude promises also to the meek that they shall possess the land,how comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second beatitude promises also to the meek that they shall possess the land,Yes
"why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone
why was the sacrament of the eucharist instituted on the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone
why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and soul and divinity in the bread alone and in the wine alone
why was the sacrament of the eucharist instituted under the two conditions of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone
why was the sacrament of the eucharist instituted by the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone
",why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone,why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone,Yes
"if the wine change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man
if the wine change into vinegar and the house crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man
if the wines change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man
if the wine change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under the species as god and as man
if the wine change into vinegar and the host crumble into corruption after they have been consecrated it is jesus christ still present under their species as god and as man
",if the wine change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man,if the wine change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man,Yes
"a gentle kick from the tall boy in the bench behind urged stephen to ask a difficult question
a gentle kick from the tall boy on the bench behind urged stephen to ask a difficult question
a gentle kick from a tall boy in the bench behind urged stephen to ask a difficult question
a gentle kick from the tall boy in the bench behind urged stephen to ask a question
a gentle kick from the tall boy in the trench behind urged stephen to ask a difficult question
",a gentle kick from the tall boy in the bench behind urged stephen to ask a difficult question,a gentle kick from the tall boy in the bench behind urged stephen to ask a difficult question,Yes
"the rector did not ask for a catechism to hear the lesson from
the rector did not ask for a catechism to hear the lesson
the rector did not ask for a catechism to hear a lesson from
the rector did not ask for the catechism to hear the lesson from
the rector did not ask for a catechism to hear the lesson from him
",the rector did not ask for a catechism to hear the lesson from,the rector did not ask for a catechism to hear the lesson from him,No
"he clasped his hands on the desk and said
he clasped his hands upon the desk and said
he clasped his hand on the desk and said
he clapped his hands on the desk and said
he clasped his hands on his desk and said
",he clasped his hands on the desk and said,he clasped his hands on the desk and said,Yes
"the retreat will begin on wednesday afternoon in honor of saint francis zaviir whose feast day is saturday
the retreat will begin on wednesday afternoon in honour of saint francis zaviir whose feast day is saturday
the retreat will begin on wednesday afternoon in honor of saint francis zavier whose feast day is saturday
the retreat will begin on wednesday afternoon in honour of saint francis zavier whose feast day is saturday
the retreat will begin on wednesday afternoon in honor of saint francis zavir whose feast day is saturday
",the retreat will begin on wednesday afternoon in honour of saint francis xavier whose feast day is saturday,the retreat will begin on wednesday afternoon in honor of saint francis zaviir whose feast day is saturday,No
"on friday confession will be heard all the afternoon after beads
on sunday confession will be heard all the afternoon after beads
on friday confessions will be heard all the afternoon after beads
on friday confession would be heard all the afternoon after beads
on friday confession will be heard on the afternoon after beads
",on friday confession will be heard all the afternoon after beads,on friday confession will be heard all the afternoon after beads,Yes
"beware of making that mistake
beware of making the mistake
beware of making a mistake
beware of making this mistake
beware of making mistake
",beware of making that mistake,beware of making that mistake,Yes
"stephen's heart began slowly to fold and fade with fear like a withering flower
stephen's heart began slowly to fold and fade with fear like a withered flower
stephen's heart began slowly to hold and fade with fear like a withering flower
stephen's heart began slowly to cold and fade with fear like a withering flower
stephen's hair began slowly to fold and fade with fear like a withering flower
",stephen's heart began slowly to fold and fade with fear like a withering flower,stephen's heart began slowly to fold and fade with fear like a withering flower,Yes
"he is called as you know the apostle of the indies
he was called as you know the apostle of the indies
he is as you know the apostle of the indies
he has called as you know the apostle of the indies
he is quite as you know the apostle of the indies
",he is called as you know the apostle of the indies,he is called as you know the apostle of the indies,Yes
"a great saint saint francis aviir
a great saint saint francis zaviir
a great saint saint francis zavier
a great saint saint francis saviir
a great saint saint francis zavir
",a great saint saint francis xavier,a great saint saint francis saviir,No
"the rector paused and then shaking his clasped hands before him went on
the rector paused then shaking his clasped hands before him went on
the rector paused and then shaking his clasped hand before him went on
the rector paused and then taking his clasped hands before him went on
the rector paused and then shaking his clasped hands before him went out
",the rector paused and then shaking his clasped hands before him went on,the rector paused and then shaking his clasped hands before him went on,Yes
"he had the faith in him that moves mountains
he had a faith in him that moves mountains
he has the faith in him that moves mountains
she had the faith in him that moves mountains
he had that faith in him that moves mountains
",he had the faith in him that moves mountains,he had the faith in him that moves mountains,Yes
"a great saint saint francis zavier
a great saint saint francis zaviir
a great saint saint francis aviir
a great saint saint francis zavior
a great saint saint francis avier
",a great saint saint francis xavier,a great saint saint francis aviir,No
"in the silence their dark fire kindled the dusk into a tawny glow
in silence their dark fire kindled the dusk into a tawny glow
in the silence the dark fire kindled the dusk into a tawny glow
in silence the dark fire kindled the dusk into a tawny glow
in the silence their fire kindled the dusk into a tawny glow
",in the silence their dark fire kindled the dusk into a tawny glow,in the silence their dark fire kindled the dusk into a tawny glow,Yes
"he could wait no longer
he would wait no longer
he can wait no longer
she could wait no longer
they could wait no longer
",he could wait no longer,he could wait no longer,Yes
"for a full hour he had paced up and down waiting but he could wait no longer
for a full hour he paced up and down waiting but he could wait no longer
for a full hour he had paced up and down waiting but he would wait no longer
for a whole hour he had paced up and down waiting but he could wait no longer
for a full hour he had paced up and down waiting he could wait no longer
",for a full hour he had paced up and down waiting but he could wait no longer,for a full hour he had paced up and down waiting but he could wait no longer,Yes
"he set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve at the police barrack and was safe
he set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve of the police barrack and was safe
he set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve in the police barrack and was safe
he set off abruptly for the bow walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve at the police barrack and was safe
he set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve to the police barrack and was safe
",he set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve at the police barrack and was safe,he set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve at the police barrack and was safe,Yes
"the university
the universe
this university
a university
that university
",the university,the university,Yes
"pride after satisfaction uplifted him like long slow waves
pride and satisfaction uplifted him like long slow waves
pride after satisfaction uplifted them like long slow waves
pride after satisfaction uplifted him like the long slow waves
pride after satisfaction uplifted him like long low waves
",pride after satisfaction uplifted him like long slow waves,pride after satisfaction uplifted him like long slow waves,Yes
"whose feet are as the feet of hearts and underneath the everlasting arms
whose feet are as the feet of hearts in underneath the everlasting arms
whose feet are the feet of hearts and underneath the everlasting arms
whose feet are at the feet of hearts and underneath the everlasting arms
whose feet were as the feet of hearts and underneath the everlasting arms
",whose feet are as the feet of harts and underneath the everlasting arms,whose feet are as the feet of hearts and underneath the everlasting arms,No
"the pride of that dim image brought back to his mind the dignity of the office he had refused
the pride of the dim image brought back to his mind the dignity of the office he had refused
the pride of that grim image brought back to his mind the dignity of the office he had refused
the pride of this dim image brought back to his mind the dignity of the office he had refused
the pride of that dim image brought back to his mind the dignity of the office he had received
",the pride of that dim image brought back to his mind the dignity of the office he had refused,the pride of that grim image brought back to his mind the dignity of the office he had refused,No
"soon the whole bridge was trembling and resounding
soon the whole ridge was trembling and resounding
soon the whole village was trembling and resounding
soon the whole bridge was bending and resounding
soon the whole street was trembling and resounding
",soon the whole bridge was trembling and resounding,soon the whole bridge was trembling and resounding,Yes
"the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face
the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration arose to his own face
the uncouth faces passed him two by two stained yellow or red or livid by the sun and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face
the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with easy and indifference a faint stain of personal shame and commiseration rose to his own face
the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his face
",the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,the uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face,Yes
"angry with himself he tried to hide his face from their eyes by gazing down sideways into a shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickie
angry with himself he tried to hide his face from their eyes by gazing down sideways into a shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tapelike collars and loosely hanging clerical clothes brother hickie
angry with himself he tried to hide his face from their eyes by gazing down sideways into that shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickie
angry with himself he tried to hide his face from their eyes by gazing down sideways into a shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickey
angry with himself he tried to hide his face from their eyes by gazing down sideways into a shallow swirling water under the bridge but he still saw a reflection therein of their topheavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickie
",angry with himself he tried to hide his face from their eyes by gazing down sideways into the shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickey,angry with himself he tried to hide his face from their eyes by gazing down sideways into a shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickie,No
"brother macardle brother kihov
brother macarde brother kihov
brother macardle brother kiov
brother macardle brother kiev
brother macarde brother kiov
",brother mac ardle brother keogh,brother macardle brother kiev,No
"their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than his had ever been a gift tenfold more acceptable than his elaborate adoration
their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than his had ever been a gift ten fold more acceptable than his elaborate adoration
their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts might be paid a far richer tribute of devotion than his had ever been a gift tenfold more acceptable than his elaborate adoration
their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than his had ever been a gift tenfold more acceptable than this elaborate adoration
their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than this had ever been a gift tenfold more acceptable than his elaborate adoration
",their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than his had ever been a gift tenfold more acceptable than his elaborate adoration,their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than his had ever been a gift tenfold more acceptable than his elaborate adoration,Yes
"it was idle for him to move himself to be generous towards them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggars weeds that they would be generous towards him loving him as themselves
it was idle for him to move himself to be generous towards them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggar's weeds that they would be generous towards him loving him as themselves
it was idle for him to move himself to be generous toward them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggars weeds that they would be generous towards him loving him as themselves
it was idle for him to move himself to be generous towards them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggars weeds that they would be generous toward him loving him as themselves
it was idle for him to move himself to be generous towards them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggars weeds they would be generous towards him loving him as themselves
",it was idle for him to move himself to be generous towards them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggar's weeds that they would be generous towards him loving him as themselves,it was idle for him to move himself to be generous towards them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggars weeds that they would be generous towards him loving him as themselves,No
"idle and embittering finally to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbor as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love
idle and embittering finally to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbour as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love
idle and embittering finely to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbor as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love
idle and embittering finely to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbour as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love
idle and embittering fine to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbor as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love
",idle and embittering finally to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbour as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love,idle and embittering finally to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbor as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love,No
"the phrase and the day and the scene harmonized in accord
the phrase and the day and the scene harmonised in accord
the phrase of the day and the scene harmonized in accord
the breeze and the day and the scene harmonized in accord
the phrase and the date and the scene harmonized in accord
",the phrase and the day and the scene harmonized in a chord,the phrase and the day and the scene harmonized in accord,No
"words was it their colours
words was it their colors
was it their colors
was it their colours
words was it theirs
",words was it their colours,words was it their colors,No
"they were voyaging across the deserts of the sky a host of nomads on the march voyaging high over ireland westward bound
they were voyaging across the deserts of the sky the host of nomads on the march voyaging high over ireland westward bound
they were voyaging across the deserts of the sky a host of nomads upon the march voyaging high over ireland westward bound
they were voyaging across the deserts of the sky a host of nomads on the march voyaging high above ireland westward bound
they were voyaging across the deserts of the sky a host of nomads on their march voyaging high over ireland westward bound
",they were voyaging across the deserts of the sky a host of nomads on the march voyaging high over ireland westward bound,they were voyaging across the deserts of the sky a host of nomads on the march voyaging high over ireland westward bound,Yes
"the europe they had come from lay out there beyond the iris sea europe of strange tongues and valleyed and wood begirt and citadelled and of entrenched and marshalled races
the europe they had come from lay out there beyond the iris sea europe of strange tongues and valleyed and wood begirt and citadelled and of intrenched and marshalled races
the europe they had come from lay out there beyond the irish sea europe of strange tongues and valleyed and wood begirt and citadelled and of entrenched and marshalled races
the europe they had come from lay out there beyond the irish sea europe of strange tongues and valleyed and wood begirt and citadelled and of intrenched and marshalled races
the europe they had come from lay out there beyond the iris sea europe of strange tongues and valleyed and wood begirt and citadeled and of entrenched and marshalled races
",the europe they had come from lay out there beyond the irish sea europe of strange tongues and valleyed and woodbegirt and citadelled and of entrenched and marshalled races,the europe they had come from lay out there beyond the iris sea europe of strange tongues and valleyed and wood begirt and citadelled and of entrenched and marshalled races,No
"again again
again
then again
again and again
away again
",again again,again again,Yes
"a voice from beyond the world was calling
a voice from behind the world was calling
the voice from beyond the world was calling
a voice from beyond that world was calling
a voice from beyond the world was called
",a voice from beyond the world was calling,a voice from beyond the world was calling,Yes
"hello stephanos here comes the daedalus
hello stephanus here comes the daedalus
hello stephano here comes the daedalus
hullo stephanos here comes the daedalus
hallo stephanos here comes the daedalus
",hello stephanos here comes the dedalus,hello stephanos here comes the daedalus,No
