input,output,prediction,match
"i need a flight from saint louis to charlotte
i need a flight from saint louis to charlotte
i need a flight from saint louis to charlotte
i need a flight from saint louis to charlotte
thank you
",i need a flight from saint louis to charlotte,i need a flight from saint louis to charlotte,Yes
"what is the seating capacity for aircraft lten
what is the seating capacity for aircraft lten
what is the seating capacity for aircraft lten
what is the seeding capacity for aircraft lten
what is the seating capacity for aircraft l ten
",what is the seating capacity for aircraft l ten,100,No
"what is meal code sb
what is meal code sb
what is meele code sb
what is meele code sb
what is meal code sb
",what is meal code sb,the meal code is sb,No
"i need the flight numbers of flights leaving from cleveland and arriving at dallas
i need the flight numbers of flights leaving from cleveland and arriving at dallas
i need the flight numbers of flights leaving from cleveland and arriving at dallas
i need the flight numbers of flights leaving from cleveland and arriving at dallas
i need the flight numbers of flights leaving from cleveland and arriving at dallas
",i need the flight numbers of flights leaving from cleveland and arriving at dallas,please provide the flight numbers of flights leaving from cleveland and arriving at dallas,No
"i would like to know what airports are in los angeles
i would like to know what airports are in los angeles
i would like to know what airports are in los angeles
i would like to know what airports are in los angeles
and i would like to know what airports are in los angeles
",i would like to know what airports are in los angeles,the airports in los angeles are lax bur and ont,No
"how many northwest flights leave saint paul
how many northwest flights leave saint paul
how many northwest flights leave saint paul
how many northwest flights leave saint paul
how many northwest flites leave saint paul
",how many northwest flights leave saint paul,5,No
"what flights from saint louis to saint paul on thursday leaving after ten a m
what flights from saint louis to saint paul on thursday leaving after ten am
what flights from saint louis to saint paul on thursday leaving after tenam
what flights from saint louis to saint paul on thursday leaving after tenam
what flights from saint louis to saint paul on thursday leaving after ten a m
",what flights from saint louis to saint paul on thursday leaving after ten am,what flights from saint louis to saint paul on thursday leaving after ten a m,No
"list the flights from cincinnati to denver on june sixth
list the flights from cincinnati to denver on june six
list the flights from cincinnati to denver on june sixth
list the flights from cincinnati to denver on june sixth
list the flights from cincinnati to denver on june sixth
",list the flights from cincinnati to denver on june sixth,list the flights from cincinnati to denver on june sixth,Yes
"i need flight and airline information for a flight from denver to salt lake city on monday after departing after five p m
i need flight and airline information for a flight from denver to salt lake city on monday after departing after five p m
i need flight and airline information for a flight from denver to salt lake city on monday after departing after fivepm
need flight and airline information for a flight from denver to salt lake city on monday after departing after five p m
need flight and airline information for a flight from denver to salt lake city on monday after departing after five p m
",i need flight and airline information for a flight from denver to salt lake city on monday after departing after five pm,i need flight and airline information for a flight from denver to salt lake city on monday after departing after 5 pm,No
"i am looking for the cheapest fare from indianapolis to orlando on december twenty-seventh
i am looking for the cheapest fair from indianapolis to orlando on december twenty-seventh
i am looking for the cheapest fare from indianapolis to orlando on december twenty-seventh
i am looking for the cheapest fare from indianapolis to orlando on december twenty-seventh
i am looking for the cheapest fare from indianapolis to orlando on dec twenty-seventh
",i am looking for the cheapest fare from indianapolis to orlando on december twenty seventh,i am looking for the cheapest fare from indianapolis to orlando on december twenty seventh,Yes
"show me the cheapest round trip coach fair from las vegas to detroit
show me the cheapest round trip coach fare from las vegas to detroit
show me the cheapest round trip coach faire from las vegas to detroit
show me the cheapest roundtrip coach fare from las vegas to detroit
show me the cheapest roundtrip coach fair from las vegas to detroit
",show me the cheapest round trip coach fare from las vegas to detroit,show me the cheapest round trip coach fare from las vegas to detroit,Yes
"give me the saturday morning flights with meals from chicago to minneapolis
give me the saturday morning flights with meals from chicago to minionapolis
give me the saturday morning flights with meals from chicago to minneapolis
give me the saturday morning flights with meals from chicago to minionapolis
give me the saturday morning flights with meals from chicago to minionapolis
",give me the saturday morning flights with meals from chicago to minneapolis,give me the saturday morning flights with meals from chicago to minneapolis,Yes
"are there any flights from long beach to columbus on wednesday april sixth
are there any flights from long beach to columbus on wednesday april sixth
are there any flights from long beach to columbus on wednesday april sixth
are there any flights from long beach to columbus on wednesday april sixth
are there any flights from long beach to columbus on wednesday april six
",are there any flights from long beach to columbus on wednesday april sixth,there are no flights from long beach to columbus on wednesday april sixth,No
"what is phl
what is phl
what is ph l
what is phl
what is ph l
",what is phl,the average rate on new thirteen week treasury bills increased to six point one two percent from five point nine seven percent at the previous auction last week,No
"i would like to fly from miami to chicago on american airlines
i would like to fly from miami to chicago on american airlines
i would like to fly from miami to chicago on american airlines
i would like to fly from miami to chicago on american airlines
i would like to fly from miami to chicago on american airlines
",i would like to fly from miami to chicago on american airlines,i would like to fly from miami to chicago on american airlines,Yes
"how many canadian airlines flights use aircraft d h eight
how many canadian airlines flights use aircraft d h a
how many canadian airlines flights use aircraft d h eight
how many canadian airlines flights use aircraft d h a t
how many canadian airlines flights use aircraft d h eight
",how many canadian airlines flights use aircraft dh eight,5,No
"please list the american airlines flights from houston to milwaukee
please list the american airlines flight from houston to milwaukee
please list the american airlines flights from houston to milwaukee
please list the american airlines flights from houston to milwaukee
please list the american airlines flights from houston to milwaukee
",please list the american airlines flights from houston to milwaukee,please list the american airlines flights from houston to milwaukee,Yes
"i need a flight from charlotte to miami
i need a flight from charlotte to miami
i need a flight from charlotte to miami
i need a flight from charlotte to miami
i need a flight from charlotte to miami
",i need a flight from charlotte to miami,i need a flight from charlotte to miami,Yes
"give me the round trip flights from cleveland to miami next wednesday
give me the round shook flights from cleveland to miami next wednesday
give me the roundtrip flights from cleveland to miami next wednesday
give me the round truck flights from cleveland to miami next wednesday
give me the round shirt flights from cleveland to miami next wednesday
",give me the round trip flights from cleveland to miami next wednesday,give me the round trip flights from cleveland to miami next wednesday,Yes
"what is the fair for a taxi to denver
what is the fare for a taxi to denver
what is the fare for a taxi to denver
what is the fair for a taxi to denver
what is the fair for a taxy to denver
",what is the fare for a taxi to denver,the fare for a taxi to denver is not specified in the given hypotheses,No
"list the flights from westchester county to denver on june seventh
list the flights from westchester county to denver on june seven
list the flights from westchester county to denver on june seven
list the flights from westchester county to denver on june seven
list the flights from westchester county to denver on june seventh
",list the flights from westchester county to denver on june seventh,list the flights from westchester county to denver on june seventh,Yes
"find me a flight from cincinnati to any airport in the new york city area
find me a flight from cincinnati to any airport in the new york city area
find me a flight from cincinnati to any airport in the new york city area
find me a flight from cincinnati to any airport in new york city area
find me a flight from cincinnati to any airport in the new york city area
",find me a flight from cincinnati to any airport in the new york city area,find me a flight from cincinnati to any airport in the new york city area,Yes
"show me round trip flights from burbank to seattle
show me round trip flights from burbank to seattle
show me round trip flights from burbank to seattle
show me roundtrip flights from burbank to seattle
show me roundtrip flights from burbank to seattle
",show me round trip flights from burbank to seattle,show me round trip flights from burbank to seattle,Yes
"please list flights from dallas to houston
please list flights from dallas to houston
please list flights from dallas to houston
please list flights from dallas to houston
please list flights from dallas to houston
",please list flights from dallas to houston,please list flights from dallas to houston,Yes
"i need to flight from oakland to salt lake city on wednesday departing after six p m
i need to flight from oakland to salt lake city on wednesday departing after sixpm
i need to fly from oakland to salt lake city on wednesday departing after six p m
i need to flight from oakland to salt lake city on wednesday departing after six pm
i need to flight from oakland to salt lake city on wednesday departing after six pm
",i need a flight from oakland to salt lake city on wednesday departing after six pm,i need to flight from oakland to salt lake city on wednesday departing after six pm,No
"i need flight information for a flight departing from cleveland to milwaukee wednesday after six p m
i need flight information for flight departing from cleveland to milwaukee wednesday after six p m
need flight information for a flight departing from cleveland to milwaukee wednesday after six p m
i need flight information for a flight departing from cleveland to milwaukee wednesday after sixpm
need flight information for flight departing from cleveland to milwaukee wednesday after six p m
",i need flight information for a flight departing from cleveland to milwaukee wednesday after six pm,i need flight information for a flight departing from cleveland to milwaukee on wednesday after 600 pm,No
"i would like flights from san francisco to long beach
i would like flights from san francisco to long beach
i would like flights from san francisco to long beach
i would like flights from san francisco to long beach
i would like flights from san francisco to long beach
",i would like flights from san francisco to long beach,i would like flights from san francisco to long beach,Yes
"list the alaska airlines flights from burbank to anywhere
list the alaska airline flights from burbank to anywhere
list the alaska airline flights from burbank to anywhere
list the alaska airline flights from burbank to anywhere
lists the alaska airlines flights from burbank to anywhere
",list the alaska airline flights from burbank to anywhere,list the alaska airlines flights from burbank to anywhere,No
"list flights from san jose to dallas on friday
this flights from san jose to dallas on friday
this flights from san jose to dallas on friday
list flights from san jose to dallas on friday
this flight is from san jose to dallas on friday
",list flights from san jose to dallas on friday,list flights from san jose to dallas on friday,Yes
"show me the flights from orlando to kansas city continuing on then to minneapolis
show me the flights from orlando to kansas city continuing on then to minneapolis
show me the flights from orlando to kansas city continuing on then to minneapolis
show me the flights from orlando to kansas city continuing on then to minneapolis
show me the flights from orlando to kansas city continuing on then to minneapolis
",show me the flights from orlando to kansas city continuing on then to minneapolis,show me the flights from orlando to kansas city continuing on then to minneapolis,Yes
"how many people will a seven hundred and fifty-seven hold
how many people will a seven hundred and fifty-seven hold
how many people will aseven hundred and fifty-seven hold
how many people will aseven hundred and fifty-seven hold
how many people will a seven hundred and fifty-seven hold
",how many people will a seven fifty seven hold,757 people will hold,No
"can i get the shortest flight from milwaukee to orlando
can i get the shortest flight from milwaukee to orlando
can i get the shortest flight from milwaukee to orlando
can i get the shortest flight from milwaukee to orlando
can i get the shortest flight from milwaukee to orlando
",can i get the shortest flight from milwaukee to orlando,can i get the shortest flight from milwaukee to orlando,Yes
"show me flights between detroit and saint louis on delta northwest u s air and united airlines
show me flights between detroit and saint louis on delta northwest us air and united airlines
show me flights between detroit and saint louis on delta northwest us air and united airlines
should be flights between detroit and saint louis on delta northwest u s air and united airlines
should we fight between detroit and saint louis on delta northwest u s air and united airlines
",show me flights between detroit and saint louis on delta northwest us air and united airlines,show me flights between detroit and saint louis on delta northwest us air and united airlines,Yes
"show delta airlines flights from boston to salt lake city
show delta airlines flights from boston to salt lake city
show delta airlines flights from boston to salt lake city
show delta airlines flights from boston to salt lake city
show delta airlines flights from boston to salt lake city
",show delta airlines flights from boston to salt lake city,show delta airlines flights from boston to salt lake city,Yes
"i need a flight from denver to salt lake city on monday
i need to flight from denver to salt lake city on monday
i need a flight from denver to salt lake city on monday
i need a flight from denver to salt lake city on monday
i need to flake from denver to salt lake city on monday
",i need a flight from denver to salt lake city on monday,i need a flight from denver to salt lake city on monday,Yes
"we need a flight on any airline from toronto to san diego with a stopover in saint louis
we need a flight on any airline from toronto to san diego with a stopover in saint louis
we need a flight on any airline from toronto to san diego with a stop over in saint louis
we need a flight on any airline from toronto to san diego with a stopover in saint louis
we need a flight on any airline from toronto to san diego with a stop over in saint louis
",we need a flight on any airline from toronto to san diego with a stopover in saint louis,we need a flight on any airline from toronto to san diego with a stopover in saint louis,Yes
"memphis to las vegas sunday afternoon
memphis to las vegas sunday afternoon
memphis to las vegas some day afternoon
meant this to las vegas sunday afternoon
memphis to las vegas sunday afternoon
",memphis to las vegas sunday afternoon,memphis to las vegas sunday afternoon,Yes
"what is the cheapest flight tomorrow from milwaukee to denver
what is the cheapest flight tomorrow from milwaukee to denver
what is the cheapest flight tomorrow from milwaukee to denver
what is the cheapest flight tomorrow from milwaukee to denver
what is the cheapest flight tomorrow from milwaukee to denver
",what is the cheapest flight tomorrow from milwaukee to denver,the cheapest flight tomorrow from milwaukee to denver is 150,No
"please find the flights from columbus to houston with the layover in nashville tomorrow
please find the flights from columbus to houston with a layover in nashville tomorrow
please find the flights from columbus to houston with the layover in nashville tomorrow
please find the flights from columbus to houston with a layover in nashville tomorrow
please find the flights from columbus to houston with the layover in nashville tomorrow
",please find the flights from columbus to houston with a layover in nashville tomorrow,please find the flights from columbus to houston with a layover in nashville tomorrow,Yes
"i need flight information from milwaukee to tampa
i need flight information from milwaukee to tampa
i need flight information from milwaukee to tampa
i need flight information from milwaukee to tampa
i need flight information from milwaukee to tampa
",i need flight information from milwaukee to tampa,i need flight information from milwaukee to tampa,Yes
"i need flight information for flights departing from cleveland going back to milwaukee wednesday after five p m
i need flight information for flights departing from cleveland going back to milwaukee wednesday after five p m
i need flight information for flights departing from cleveland going back to milwaukee wednesday after fivepm
i need flight information for flights departing from cleveland going back to milwaukee wednesday after fivepm
i need flight information for flights departing from cleveland going back to milwaukee wednesday after fivepm
",i need flight information for flights departing from cleveland going back to going back to milwaukee wednesday after five pm,i need flight information for flights departing from cleveland going back to milwaukee wednesday after 5 pm,No
"i need to fly from denver to westchester county on june seventh after threepm
i need to fly from denver to westchester county on june seven after three p m
i need to fly from denver to westchester county on june seven after threepm
i need to fly from denver to westchester county on june seventh after three pm
i need to fly from denver to westchester county on june seventh after threepm
",i need to fly from denver to westchester county on june seventh after three pm,i need to fly from denver to westchester county on june seventh after three pm,Yes
"after twelve p m on wednesday april sixth i would like to fly from long beach to columbus
after twelve p m on wednesday april six i would like to fly from long beach to columbus
after twelvepm on wednesday april sixth i would like to fly from long beach to columbus
after twelvepm on wednesday april sixth i would like to fly from long beach to columbus
after twelve pm on wednesday april sixth i would like to fly from long beach to columbus
",after twelve pm on wednesday april sixth i would like to fly from long beach to columbus,1200 pm on wednesday april 6th i would like to fly from long beach to columbus,No
"i need a flight from milwaukee to indianapolis leaving monday a m monday before nine a m
i need to flight from milwaukee to indianapolis leaving monday a m monday before nine a m
i need to flight from milwaukee to indianapolis leaving monday a m monday before nine a m
i need to flight from milwaukee to indianapolis leaving monday a m monday before nine am
i need a flight from milwaukee to indianapolis leaving monday a m monday before nine am
",i need a flight from milwaukee to indianapolis leaving monday am monday before nine am,i need a flight from milwaukee to indianapolis leaving monday before nine am,No
"what is the ground transportation in denver
what is the ground transportation in denver
what is the ground transportation in denver
what is the ground transportation in denver
what is the ground transportation in denver
",what is the ground transportation in denver,the ground transportation in denver is provided by buses trains and taxis,No
"i need a flight from kansas city to minneapolis
i need a flight from kansas city to minneapolis
i need a flight from kansas city to minneapolis
i need a flight from kansas city to minneapolis
i need a flight from kansas city to minneapolis
",i need a flight from kansas city to minneapolis,i need a flight from kansas city to minneapolis,Yes
"please list all flights from new york to miami any type of class
please list all flights from new york to miami any type of class
please list all flights from new york to miami any type of class
please list all flights from new york to miami any type of class
please list all flights from new york to miami any type of class
",please list all flights from new york to miami any any type of class,please list all flights from new york to miami any type of class,No
"list flights from washington d c to pittsburgh leaving after one thousand, eight hundred
list flights from washington d c to pittsburgh leaving after one thousand, eight hundred
list flights from washington d c to pittsburgh leaving after one thousand, eight hundred
list flights from washington d c to pittsburgh leaving after one thousand, eight hundred
list flights from washington d c to pittsburgh leaving after one thousand, eight hundred
",list flights from washington dc to pittsburgh leaving after eighteen hundred,list flights from washington d c to pittsburgh leaving after one thousand eight hundred,No
"please list the flights from ontario california to orlando florida
please list the flights from ontario california to orlando florida
please list the flights from ontario california to orlando florida
please list the flights from ontario california to orlando fallorda
please list of lights from ontario california to orlando florida
",please list the flights from ontario california to orlando florida,please list the flights from ontario california to orlando florida,Yes
"please show ground transportation to milwaukee
please show ground transportation to milwaukee
please show ground transportation to milwaukee
please show ground transportation to milwaukee
please show ground transportation to milwaukee
",please show ground transportation to milwaukee,please show ground transportation to milwaukee,Yes
"i need a round trip from phoenix to washington dc and the fair leaving in the morning
i need a round trip from phoenix to washington dc and the fair leaving in the morning
i need a round trip from phoenix to washington d c and the fair leaving in the morning
i need a round trip from phoenix to washington dc and the fair leaving in the morning
i need a round trip from phoenix to washington dc and the fair leaving in the morning
",i need a round trip from phoenix to washington dc and the fare leaving in the morning,i need a round trip from phoenix to washington dc and the fair leaving in the morning,No
"which flights on u s air go from orlando to cleveland
which flights on u s air go from orlando to cleveland
which flights on us air go from orlando to cleveland
which flights on us air go from orlando to cleveland
which flights on u s air go from orlando to cleveland
",which flights on us air go from orlando to cleveland,which flights on u s air go from orlando to cleveland,No
"list airports in arizona nevada and california please
list airports in arizona nevada and california please
list airports in arizona nevada and california please
list airports in arizona nevada and california please
list airports in arizona nevada and california please
",list airports in arizona nevada and california please,list airports in arizona nevada and california please,Yes
"new york to las vegas sunday afternoon
new york to las vegas on the afternoon
new york to las vegas on day afternoon
new york to las vegas on day afternoon
new york to las vegas sunday afternoon
",new york to las vegas sunday afternoon,new york to las vegas sunday afternoon,Yes
"list flights from laguardia to burbank
list flights from la guardia to burbank
list flights from la guardia to burbank
list flights from la guardia to burbank
list flights from laguardia to burbank
",list flights from la guardia to burbank,list flights from laguardia to burbank,No
"bye and flight from houston to memphis on friday
buying flight from houston to memphis on friday
bind flight from houston to memphis on friday
bind flight from houston to memphis on friday
fine flight from houston to memphis on friday
",find flight from houston to memphis on friday,the investor now owns seventy three percent of the company,No
"list flights from las vegas to san diego
list flights from las vegas to san diego
list flights from las vegas to san diego
this flight is from las vegas to san diego
list flights from las vegas to san diego
",list flights from las vegas to san diego,list flights from las vegas to san diego,Yes
"list fares from washington dc to montreal
list fares from washington dc to montreal
list fairs from washington dc to montreal
list fares from washington d c to montreal
list fairs from washington dc to montreal
",list fares from washington dc to montreal,list fares from washington dc to montreal,Yes
"show flights tuesday evening from milwaukee to saint louis
show flights tuesday evening from milwaukee to saint louis
show flights tuesday evening from milwaukee to saint louis
show flights tuesday evening from milwaukee to saint louis
show flights tuesday evening from milwaukee to saint louis
",show flights tuesday evening from milwaukee to saint louis,show flights tuesday evening from milwaukee to saint louis,Yes
"are there any flights from boston to orlando connecting in columbus
are there any flights from boston to orlando connecting in columbus
is there any flights from boston to orlando connecting in columbus
are there any flights from boston to orlando connecting in columbus
are there any flights from boston to orlando connecting in columbus
",are there any flights from boston to orlando connecting in columbus,there are no flights from boston to orlando connecting in columbus,No
"find a flight between saint petersburg and charlotte the flight should leave in the afternoon and arrive as soon as fivepm as possible it should be a non stop flight
find the flight between saint petersburg and charlotte the flight should leave in the afternoon and arrive as soon as fivepm as possible it should be a non stop flight
find a flight between saint petersburg and charlotte the flight should leave in the afternoon and arrive as soon as fivepm as possible it should be a non stop flight
find a flight between saint petersburg and charlotte the flight should leave in the afternoon and arrive as soon as fivepm as possible it should be a nonstop flight
find a flight between saint petersburg and charlotte the flight should leave in the afternoon and arrive as soon as after fivepm as possible it should be a non stop flight
",find a flight between saint petersburg and charlotte the flight should leave in the afternoon and arrive as soon as five after five pm as possible it should be a nonstop flight,find a non stop flight between saint petersburg and charlotte that leaves in the afternoon and arrives as soon as possible after 5pm,No
"list flights from seattle to salt lake city on delta beone
list flights from seattle to salt lake city on delta beone
list flights from seattle to salt lake city on delta be one
list flights from seattle to salt lake city on delta be one
list flights from seattle to salt lake city on delta beone
",list flights from seattle to salt lake city on delta be one,list flights from seattle to salt lake city on delta beone,No
"what type of aircraft is used for the american flight leaving it for four point one nine pm
what type of aircraft is used for the american flight leaving it for four point one nine p m
what type of aircraft is used for the american flight leaving it for four point one ninepm
what type of aircraft is used for the american flight leaving it for four point one nine pm
what type of aircraft is used for the american flight leaving it for four point one nine pm
",what type of aircraft is used for the american flight leaving at four four nineteen pm,419 pm,No
"what is the earliest arriving flight between boston and washington dc
what is the earliest arriving flight between boston and washington dc
what is the earliest arriving flight between boston and washington dc
what is the earliest arriving flight between boston and washington dc
what is the earliest arriving flight between boston and washington dc
",what is the earliest arriving flight between boston and washington dc,the earliest arriving flight between boston and washington dc is united airlines flight 1900 from boston logan international airport to washington dulles international airport which arrives at 600 am,No
"what are the flights from phoenix arizona to saint paul minnesota on tuesday
what are the flights from phoenix arizona to saint paul minnesota on tuesday
what are the flights from phoenix arizona to saint paul minnesota on tuesday
what are the flights from phoenix arizona to saint paul minnesota on tuesday
what are the flights from phoenix arizona to saint paul minnesota on tuesday
",what are the flights from phoenix arizona to saint paul minnesota on tuesday,what are the flights from phoenix arizona to saint paul minnesota on tuesday,Yes
"show me the airports serviced by tower air
show me the airports serviced by tower air
show me the airport is service by tower air
show me the airport is serviced by tower air
show me the airport is serviced by tower air
",show me the airports serviced by tower air,show me the airports serviced by tower air,Yes
"which is fair code b h mean
which is fair code bh mean
which is fair code bh mean
which is fair code b h mean
which is fair code bh mean
",what does fare code bh mean,about half these managers are in the u s,No
"what does fair code be in mean
what does fair code be and mean
what does fair code be end mean
what does fair code be and mean
what does faircode be in mean
",what does fare code bn mean,,No
"show me all flights from san jose to phoenix
show me all flights from san jose to phoenix
show me all flights from san jose to phoenix
show me off lights from san jose to phoenix
show me off lights from san jose to phoenix
",show me all flights from san jose to phoenix,show me all flights from san jose to phoenix,Yes
"please list all the flights from chicago to kansas city on june seventeenth
please list all the flights from chicago to kansas city on june seventeenth
please list all the flights from chicago to kansas city on june seventeenth
please list all the flights from chicago to kansas city on june seventeenth
please list all the flights from chicago to kansas city on june seventeenth
",please list all the flights from chicago to kansas city on june seventeenth,please list all the flights from chicago to kansas city on june seventeenth,Yes
"list all flights arriving in denver between eight and nine p m
list all flights arriving in denver between eight and nine pm
list all flights arriving in denver between eight and nine p m
list all flights arriving in denver between eight and ninepm
list all flights arriving in denver between eight and nine pm
",list all flights arriving in denver between eight and nine pm,list all flights arriving in denver between eight and nine pm,Yes
"i would like a flight leaving san francisco for san diego
it would like a flight leaving san francisco for san diego
it would like a flight leaving san francisco for san diego
i would like a flight leaving san francisco for san diego
i would like a flight leaving san francisco for san diego
",i would like a flight leaving san francisco for san diego,i would like a flight leaving san francisco for san diego,Yes
"what is the cheapest flight from san francisco to denver
what is the cheapest flight from san francisco to denver
what is the cheapest flight from san francisco to denver
what is the cheapest flight from san francisco to denver
what is the cheapest flight from san francisco to denver
",what is the cheapest flight from san francisco to denver,the cheapest flight from san francisco to denver is 150,No
"i would like flight information from phoenix to denver
i would like flight information from phoenix to denver
i would like to fight information from phoenix to denver
i would like flight information from phoenix to denver
i would like fight information from phoenix to denver
",i would like flight information from phoenix to denver,i would like flight information from phoenix to denver,Yes
"please list ground transportation from ewr into new york city
please list ground transportation from ewr into new york city
please list ground transportation from ewr into new york city
please list ground transportation from ewr in to new york city
please list ground transportation from ewr in to new york city
",please list ground transportation from ewr into new york city,please list ground transportation from ewr into new york city,Yes
"list flights from phoenix to houston
list flights from phoenix to houston
list flights from phoenix to houston
list flights from phoenix to houston
list flights from phoenix to houston
",list flights from phoenix to houston,list flights from phoenix to houston,Yes
"which airline is as
which airline is aes
which airline is as
which airline is ais
which airline is aas
",which airline is as,which airline is as,Yes
"i would like a morning flight from charlotte to newark
i would like a morning flight from charlotte to newark
i would like a morning flight from charlotte to newark
i would like a morning flight from charlotte to newark
i would like a morning flight from charlotte to newark
",i would like a morning flight from charlotte to newark,i would like a morning flight from charlotte to newark,Yes
"list california nevada arizona airports
list california nevada arizona airfords
list california nevada arizona airfords
list california nevada arizona airports
list california nevada arizona airports
",list california nevada arizona airports,list california nevada arizona airports,Yes
"the starfleights from cleveland to nashville
the stealth lights from cleveland to nashville
list off lights from cleveland to nashville
list off flights from cleveland to nashville
list of flights from cleveland to nashville
",list all flights from cleveland to nashville,list flights from cleveland to nashville,No
"list all flights and their fares from indianapolis to memphis on monday morning
list all flights and their fares from indianapolis to memphis on a monday morning
list all flights and their fares from indianapolis to memphis on a monday morning
list all flights and their fares from indianapolis to memphis on a monday morning
list all flights and their fares from indianapolis to memphis on a monday morning
",list all flights and their fares from indianapolis to memphis on a monday morning,list all flights and their fares from indianapolis to memphis on a monday morning,Yes
"which airline is us
which airline is u s
which airline is us
which airline is us
which airline is us
",which airline is us,which airline is us,Yes
"we want to flight round trip from memphis to seattle
i want to flight round trip from memphis to seattle
we want to flight roundtrip from memphis to seattle
we want to flight the round trip from memphis to seattle
i want to flight roundtrip from memphis to seattle
",i want a flight round trip from memphis to seattle,we want to fly round trip from memphis to seattle,No
"show me the cheapest economy flights from miami to new york
show me the cheapest economy flights from miami to new york
show me the cheapest economy flights from miami to new york
show me the cheapest economy flights from miami to new york
show me the cheapest economy flights from miami to new york
",show me the cheapest economy flights from miami to new york,show me the cheapest economy flights from miami to new york,Yes
"i need a flight from memphis to seattle
i need a flight from memphis to seattle
i need a flight from memphis to seattle
i need a flight from memphis to seattle
i need a flight from memphis to seattle
",i need a flight from memphis to seattle,i need a flight from memphis to seattle,Yes
